id;nombre;apellido;cargo;salario;establecimiento_id
1;grandiose;yahoo;helplessly;13557.11;21140
2;stuff consequently;capitalise heavily;whose however qualified;22814.42;15879
3;justly construe masculinize;heroine uh-huh;notwithstanding;11276.87;8425
4;who understanding;glaring;ah like;28882.04;7363
5;down mmm at;bah;speedy object;4918.63;16591
6;puppet;orderly;council illustrious;26702.68;8856
7;punctually immediately chasuble;phew;madly avalanche plagiarise;10193.22;15032
8;finer cellar fooey;forgather;phooey yet finally;6776.11;27119
9;hydrolyse uh-huh underneath;guest but leading;interviewer strident below;17181.74;18941
10;political;consign redound ah;meh whispered wherever;6082.72;3161
